Como voce identifica seu genero?;Qual o ultimo nivel de formacao que voce obteve na UNIFEI?;Qual o seu ano de conclusao?;A qual programa esteve vinculado?;Em uma escala de 0 a 10, o quanto voce recomendaria o Programa em que realizou sua pos-graduacao na UNIFEI?;Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Infraestrutura geral];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Em relacao a sua TESE/DISSERTAcaO, voce ficou:;Em relacao a sua PRODUcaO CIENTiFICA, voce ficou satisfeito:;Voce acredita que a sua pesquisa teve relevancia e pertinencia social?;Voce acredita que a sua pesquisa teve relevancia e pertinencia economico?;Voce acredita que a sua pesquisa teve relevancia e pertinencia ambiental?;Voce acredita que a sua pesquisa promoveu o avanco cientifico?;Voce acredita que sua pesquisa esteve alinhada com missao, visao e objetivos de seu Programa?;Voce recebeu bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)?;O programa de pos-graduacao em que atuou tem como objetivo a producao de inovacao tecnologica?;Voce acredita que a linha de pesquisa em que atuou se destaca pela producao de inovacao tecnologica?;Voce depositou alguma patente proveniente de sua pesquisa?;O programa de pos-graduacao em que atuou tem como objetivo a producao de tecnologias de APLICAcaO SOCIAL?;Alguma tecnologia de aplicacao social foi criada como resultado de sua pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a sociedade, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa gerou solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual foi o principal impacto social promovido por seu projeto de pesquisa? (Marque todas aplicaveis);Seu projeto de pesquisa possuiu parcerias com instituicoes internacionais de pesquisa ou ensino?;Quando aluno da UNIFEI, teve a oportunidade de fazer parte da sua pos-graduacao em outra instituicao (Nacional ou Internacional)?;Em sua trajetoria profissional, teve a oportunidade de atuar fora do Brasil?;Caso se sinta a vontade, pedimos que compartilhe como fez para pleitear a oportunidade fora do Brasil.;Qual sua colocacao profissional atualmente?;Seu emprego esta relacionado a sua area de formacao na pos-graduacao da UNIFEI?;Voce teve dificuldade para conseguir o primeiro emprego?;Caso tenha tido/tenha dificuldade para conseguir o primeiro emprego, o que poderia ser melhorado no programa, visando maior insercao no mercado de trabalho?;Teve bolsa de iniciacao cientifica na graduacao?;Voce teve recursos e estrutura fisica suficiente para a conducao dos seus experimentos?;Gostariamos de saber sua satisfacao pessoal e profissional com relacao a sua formacao na UNIFEI. Fique a vontade em descreve-las.;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Masculino;Mestrado;2020;Muticentrico em Quimica;9;2;3;3;3;3;3;3;2;3;3;3;3;2;3;1;3;3;3;3;Sim;Bill & Melinda Gates Foundation;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Avanco cientifico;Sim;Nao;Nao;;Estudante de Doutorado do programa de Fisiologia Vegetal da UNIFEI;Sim;Nao se aplica (Desempregado);;Sim;Sim;;
Feminino;Mestrado;2016;Ciencia e Tecnologia da Computacao;10;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;3;Licenciamento de processos ou produtos;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Sim;Sim;Fiz parte da primeira turma do PROFIAP e todos os 3 alunos do campus Vicosa que passaram no programa tiveram apoio de transporte para participar das aulas presenciais em BH e Florestal. Nao tive apoio financeiro para realizacao da minha tese. Realizei na area que atuo agora, Divisao de Gerenciamento de Residuos, sendo a primeira destinacao em Logistica Reversa de eletroeletronicos de informatica patrimoniados, ainda sendo referencia para os setores publicos no pais pois recebemos retornos e pedidos de ajuda no processo de outras instituicoes.;
Masculino;Mestrado;2020;Fisica;10;3;3;Sem condicoes de avaliar;2;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;sim;Estudante de doutorado;;Nao se aplica (Desempregado);;Sim;Sim;;
Masculino;Mestrado;2020;Fisiologia Vegetal;10;3;2;3;3;3;3;2;3;3;3;2;3;3;2;2;3;3;2;2;Sim;Sim;Sim;Sim;Nao;Nao;;Nao;Sim;2;Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Estudante de doutorado;Nao;Sim;;Sim;Sim;;
Feminino;Mestrado;2020;Engenharia de Materiais;10;3;2;3;3;2;3;2;3;3;3;3;;3;2;3;3;2;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Nao;2;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Nao se aplica (desempregado);Nao;Nao se aplica (Desempregado);;Sim;Sim;;
Masculino;Doutorado;2013;Ciencia e Engenharia de Materiais;10;2;2;3;3;3;2;3;3;3;3;2;2;3;3;3;2;3;3;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Sim;Sim;Sim;;Docente;Sim;Nao;;Sim;Sim;;
Feminino;Mestrado;2012;Ciencia da Computacao;10;3;2;3;3;3;Sem condicoes de avaliar;3;3;3;3;3;3;3;3;1;2;1;3;2;Sim;Nao;Sim;Nao;Nao;Nao;;Sim;Sim;2;Avanco cientifico;Nao;Nao;Sim;Era aluna de doutorado do USP com Bolsa da FAPESP.;sou docente e pesquisadora;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Sim;Nao;Gosto muito da qualidade profissional do instituicao e do departamento de informatica. e um diferencial a parte na minha formacao. ;
Feminino;Mestrado;2018;Engenharia Hidrica;10;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;2;1;2;2;Nao;Sim;Sim;Sim;Nao;Nao;;Sim;Sim;2;Licenciamento de processos ou produtos;Sim;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;;
Masculino;Mestrado;2018;Fisiologia Vegetal;8;3;2;3;3;2;2;2;2;3;3;2;2;3;2;1;3;1;2;;Sim;Nao;Nao;Nao;Nao;Nao;;Nao;Nao;1;Nenhuma dos impactos listados;Nao;Nao;Nao;;Pesquisador;Sim;Nao se aplica (Desempregado);;Sim;Sim;A UNIFEI e otima. Possui infraestrutura adequada. Contudo, peca no quesito ensino, ja que pouquissimos professores sao docentes de natureza. ;
Masculino;Mestrado;2020;Matematica;10;2;2;3;3;3;2;2;2;2;2;3;3;2;2;2;2;3;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;;;Sim;Sim;Satisfeito ;
Feminino;Mestrado;2020;Engenharia de Materiais;10;2;2;2;2;2;2;3;2;2;2;3;3;2;2;3;2;2;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Outras ocupacoes na iniciativa privada;Nao;Sim;Maior mediacao entre a instituicao e as oportunidades do mercado de trabalho ;Sim;Sim;A UNIFEI nos ofereceu todos os recursos e oportunidades e apoio,para que nossa formacao fosse de qualidade e efetiva.Sempre serei grata e satisfeita por ter feito parte da instituicao.;
Masculino;Doutorado;2020;Ciencia e Tecnologia da Computacao;8;2;2;3;2;2;3;3;2;2;3;2;2;2;3;3;3;3;2;2;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Avanco cientifico;Sim;Sim;Nao;;Pesquisador;Sim;Nao se aplica (Desempregado);;Sim;Sim;Eu me sinto feliz em ter realizado o meu doutorado na UNIFEI. No entanto, acredito que a universidade pode ampliar e/ou focar nao apenas na formacao de pesquisadores, mas tambem prepara-los para atuacao no mundo corporativo. ;
Feminino;Doutorado;2021;Agroquimica;10;2;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;Sou muito satisfeita, grata e feliz por ter feito pos graduacao da UNIFEI. Universidade excelente! Aprendi muita coisa.;Terminei o doutorado a pouco tempo e gostaria de ter tido uma colacao virtual (simbolica) assim como a graduacao teve para guardar de recordacao.
Masculino;Mestrado;2019;Fisica;2;3;3;3;3;3;3;2;1;2;2;2;2;3;1;3;3;3;2;;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Sim;Nao;Nao;;Docente;Sim;Sim;Parcerias e contato com empresas;Sim;Sim;Satisfeito com a estrutura fisica e de pesquisa da instituicao e com os pesquisadores, mas insatisfeito com a relacao com orientadores e com professores e com a falta de transparencia dos processos que ocorrem no departamente e das oportunudades.;
Feminino;Mestrado;2018;Administracao;8;2;2;2;3;2;3;3;3;3;3;3;3;2;2;3;1;1;3;;Sim;Nao;Nao;Nao;Nao;Nao;;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Sim;DRI mesmo.;Doutoranda;Sim;Nao;;Nao;Sim;Esta sendo um desafio maravilhoso! Quanto a UNIFEI em si, so elogios e gratidao.;
Masculino;Mestrado;2019;Matematica em Rede Nacional;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Sim;Nao;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Docente;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Fiquei totalmente satisfeito. Excelente universidade e excelentes profissionais.;
Feminino;Mestrado;2020;Engenharia Mecanica;10;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;Sim;Nao;Nao;Nao;Nao;Nao;;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;;Nao;Nao se aplica (Desempregado);;Sim;Sim;;
Masculino;Doutorado;2018;Ciencia e Tecnologia da Computacao;10;3;3;3;3;3;3;2;3;3;2;3;3;2;3;2;3;3;3;2;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Sim;;Sim;Sim;;
Masculino;Mestrado;2019;Engenharia de Producao;10;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;Nao;Nao;Sim;Sim;Nao;Sim;Sim;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Moderadamente satisfeito. Proximo passo, doutoramento na UNIFEI!;Nao
Feminino;Doutorado;2020;Muticentrico em Quimica;8;3;2;2;2;2;3;3;2;3;3;2;3;2;2;2;1;1;2;;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Nao;Nao;;Bolsista de pos doutorado;Sim;Sim;Eu ainda sou bolsista de pos doutorado. Nao tenho um emprego formal, mas tambem nao me considero uma desempregada. ;Sim;Sim;Sou muito grata a UNIFEI por ter me proporcionado tanto conhecimento academico na minha formacao em Bioquimica, desde a graduacao ate o doutorado. Eu penso que a UNIFEI e uma instituicao referencia nacional e internacionalmente, onde fui exposta a muitas oportunidades de crescimento pessoal e profissional. Se me faltou alguma coisa durante a pos graduacao (financeiramente falando), eu tenho consciencia que a razao disso e superior a universidade, como cortes de verbas, falta de recursos (...). Porque enquanto eu fui aluna da UNIFEI, o setor administrativo da UNIFEI sempre foi muito eficiente.;
Masculino;Mestrado;2020;Muticentrico em Quimica;8;2;2;2;2;2;2;2;2;3;3;2;2;3;2;2;2;3;2;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Estudante de doutorado;;;;Sim;Sim;;
Feminino;Mestrado;2017;Biologia Animal;9;3;2;3;2;2;3;3;3;3;3;2;2;3;3;3;2;3;2;;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Nao;Sim;Ciencias Sem Fronteiras (2012-2013);Estudante de Doutorado do Programa de Pos-Graduacao em Biologia Animal da UNIFEI;;;;Sim;Sim;Faltam recursos para execucao da pesquisa e o numero de disciplinas precisa de ser ampliado com a abertura do curso de doutorado.;
Feminino;Mestrado;2019;Muticentrico em Quimica;10;2;2;2;3;3;2;3;2;3;3;3;3;2;2;3;2;3;2;2;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;2;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Sim;Sensacional;Docente;Sim;Sim;maior incentivo e oportunidade;Sim;Sim;Sensacional;e importante os alunos terem a experiencia de sala de aula/ prof. substituto enquanto estao na pos graduacao.
Masculino;Mestrado;2020;Ciencia da Computacao;8;2;2;2;3;3;3;2;3;3;3;2;2;2;2;2;2;2;3;3;Nao;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Nao;;
Masculino;Mestrado;2017;Patrimonio Cultural, Paisagens e Cidadania;10;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Servidor Publico (outros cargos);Nao;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Sim;Sim;Muito satisfeito;
Feminino;Mestrado;2017;Patrimonio Cultural, Paisagens e Cidadania;9;3;2;3;2;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Nao;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Sou grata a UNIFEI por ter possibilitado minha graduacao e pos-graduacao. Sou hoje, uma profissional melhor gracas aos aprendizados adquiridos ao longo da vida academica.;A PPG e um orgao de vital importancia para a universidade, haja vista sua participacao nas politicas de incentivo a pesquisa, tao importantes e necessarias para o desenvolvimento de nosso pais.  
Feminino;Doutorado;2021;Fisiologia Vegetal;8;2;2;2;3;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Licenciamento de processos ou produtos;Nao;Nao;Nao;;Pesquisador;Sim;Sim;Capacitar melhor os discentes para a transicao pos e mercado de trabalho. ;Sim;Sim;;
Feminino;Doutorado;2013;Estatistica Aplicada e Biometria;8;2;2;2;3;2;3;2;3;3;3;2;2;3;3;2;2;2;3;3;Sim;Nao;Nao;Nao;Nao;Nao;;;Sim;2;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Feminino;Mestrado;2019;Engenharia Civil;7;2;2;2;2;3;3;3;3;3;3;2;2;3;3;2;2;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Cursando doutorado na UNIFEI;Sim;Nao se aplica (Desempregado);;Sim;Sim;Muito satisfeita;Nao
Feminino;Doutorado;2020;Meio Ambiente e Recursos Hidricos;10;3;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;2;2;3;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Sim;Sim;;
Masculino;Doutorado;2013;Ciencia e Tecnologia da Computacao;9;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;3;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;Assim como a maioria, fui muito feliz no meu tempo de estudante na UNIFEI. A UNIFEI e uma instituicao que prima pela perfeicao. Falta a ela inovar. e necessario que as grades curriculares sejam atualizadas visando atender os problemas da sociedade e do mercado, bem como garantir que os alunos e alunas tenham mais exercicio pratico de suas futuras atividades profissionais. ;Atualmente como professor da instituicao sinto que falta interacao entre programas de pos-graduacao e incentivo a jovens pesquisadores. Sugiro a abertura de editais voltados a professores recem-contratados.
Masculino;Doutorado;2013;Engenharia Eletrica;9;2;2;3;3;3;3;3;2;2;3;3;3;3;3;2;2;2;2;2;Sim;Sim;Sim;Sim;Nao;Nao;;Sim;Sim;3;Nenhuma dos impactos listados;Nao;Sim;Nao;;Docente;Nao;Nao;;Sim;Sim;Muito satisfeito. A instituicao me ofereceu tudo aquilo que eu sempre sonhei e me deu uma formacao solida que me permite atuar com seguranca em meu trabalho. ;Cumpre bem o seu papel
Masculino;Doutorado;2013;Desenvolvimento, Tecnologias e Sociedade;9;3;2;2;2;3;2;3;3;3;3;3;3;2;2;2;2;3;2;2;Sim;Nao;Nao;Sim;Nao;Sim;Nao;Sim;Sim;3;Avanco cientifico;Sim;Nao;Nao;;Docente;Sim;Sim;;Sim;Sim;"Satisfacao pessoal, extremamente satisfeito! 
Ja na satisfacao profissional, acho que em minha formacao profissional faltou a fluencia em linguas estrangeiras, logo apos a formatura de graduacao. ";
Masculino;Mestrado;2020;Patrimonio Cultural, Paisagens e Cidadania;9;3;2;2;3;3;2;2;2;3;2;2;2;3;2;3;3;3;3;3;Nao;Nao;Nao;Nao;Nao;Nao;;Nao apresentei ainda.;Nao apresentei ainda.;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Satisfeito;
Feminino;Mestrado;2019;Engenharia Mecanica;10;3;3;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim, tanto em eventos locais, nacionais e internacionais;2;Melhoria na qualidade de vida da populacao local, Avanco cientifico;Sim;Nao;Nao;;Doutoranda no mesmo PPG;;;;;Sim;;
Masculino;Doutorado;2020;Muticentrico em Quimica;9;2;2;3;2;2;3;2;3;3;3;3;3;2;3;3;2;3;3;;Sim;Nao;Sim;Nao;Nao;Nao;;Nao;Sim;3;Nenhuma dos impactos listados;Nao;Sim;Nao;;Pos-doutorando;Sim;;;Sim;Sim;Satisfacao imensa. Apesar da crise economica e desvalorizacao da ciencia que vivemos, acredito que os professores tem conseguido adequar suas linhas de pesquisa para que continuem a ser impactantes. Profissionalmente, acredito que de forma geral ainda e necessario uma maior adequacao as necessidades do mercado  e proximidade das pesquisas com empresas. Pois sao nelas que grande parte dos egressos irao buscar sua primeira oportunidade de trabalho;Nao tive muito contato com a equipe da PPG durante meu doutorado. No entanto sei que e uma equipe super capacitada e disponivel para auxiliar os estudantes.
Masculino;Mestrado;2020;Ciencia e Tecnologia da Computacao;9;3;3;2;2;2;2;3;3;3;3;3;3;2;2;3;3;3;3;;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Doutorando;;;Poderia ter programas de traines das empresas em parceria com os programas de pos-graduacao da UNIFEI.;Sim;Sim;Tenho muita satisfacao de ter estudado na UNIFEI. Certamente escolheria esta instituicao novamente.;
Feminino;Doutorado;2019;Fisica;9;3;3;3;3;3;2;2;3;2;2;2;3;3;3;3;3;3;3;;Sim;Nao;Nao;Nao;Nao;Nao;;Sim;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Nao se aplica (Desempregado);;Sim;Sim;Minha formacao pessoal e profissional na UNIFEI foi muito boa, e com excelencia. ;
Masculino;Mestrado;2019;Muticentrico em Quimica;10;3;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;2;3;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Nao;;Nao;Sim;;
Masculino;Mestrado;2019;Muticentrico em Quimica;8;2;2;3;Sem condicoes de avaliar;3;2;3;3;3;3;3;3;2;2;2;3;3;3;2;Sim;Sim;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Sim;Nao;Nao;;;;;;Sim;Sim;otima;
Masculino;Mestrado;2016;Ciencia e Tecnologia da Computacao;10;3;3;2;3;2;3;3;3;2;3;3;3;3;3;3;2;1;3;3;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Nao;;Nao;Sim;;
Feminino;Mestrado;2020;Meio Ambiente e Recursos Hidricos;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;Sim;Nao;Nao;Nao;Nao;Nao;;Sim;Nao;2;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Nao;Sim;;
Feminino;Mestrado;2020;Muticentrico em Quimica;9;2;2;3;3;3;2;2;2;2;3;3;3;2;2;3;2;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Nao;Nao;;Sim;Sim;;
Feminino;Doutorado;2013;Engenharia de Producao;9;3;3;2;2;2;2;3;3;2;2;2;2;3;3;2;2;1;3;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;Sou muito grata a UNIFEI pela infraestrutura disponibilizada e pelo corpo docente que contribuiram muito para minha formacao pessoal e profissional. Hoje sou uma profissional realizada com o que faco.;
Feminino;Mestrado;2019;Ciencia e Tecnologia da Computacao;8;3;3;3;3;3;Sem condicoes de avaliar;3;3;1;1;3;3;3;1;3;1;1;1;2;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;3;Nenhuma dos impactos listados;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;;
Masculino;Doutorado;2016;Ciencia e Tecnologia da Computacao;10;2;2;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;2;Transferencia de conhecimento para a sociedade;Nao;Sim;Nao;;Docente;Sim;Sim;Estreitamento das realcoes com empresas privadas e autarquias de incentivo ao empreendedorismo;Sim;Sim;"A UNIFEI e uma referencia naquilo que se propoe a fazer. Muito satisfeito em fazer parte desta casa. Muito embora hajam detalhes a serem melhorados sempre; o que avalio ser normal em qualquer instituicao.";
Masculino;Mestrado;2017;Ciencia e Tecnologia da Computacao;9;3;2;3;3;3;2;3;3;3;3;2;2;2;3;3;3;3;2;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;;;Nao;;Sim;Sim;Gratificante, abriu inumeras portas;"Quanto ao periodo anterior ao da pandemia, tenho que parabenizar apenas. Atualmente, com a pandemia esta terrivel pois os alunos ficam travados em experimentos e analises laboratoriais por falta de recursos, aparelhos (que tem vida util mais que ultrapassada) e por falta de tecnicos que estao em Home office. O que leva estudantes de pos-graduacao a um constrangimento, estresse, saude mental reduzida. Entende-se que e um periodo ""anormal"" para todos, mas se ha cobrancas aos alunos, porque nao ter sobre o basico, para as coisas evoluirem tambem."
Masculino;Mestrado;2013;Ciencia da Computacao;7;2;2;2;2;2;2;3;3;3;3;2;2;3;3;2;2;1;2;3;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Nao;3;Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Nao;;Sim;Sim;e uma formacao boa mas que ainda tem muitos problemas.;
Feminino;Mestrado;2016;Ciencia e Tecnologia da Computacao;7;2;3;3;2;1;1;3;3;3;3;3;3;3;2;2;2;3;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Nao;Nao se aplica (Desempregado);"Disciplinas/cursos que orientem sobre concursos (como preparar um plano de aula/aula didatica). Como preparar curriculo para empresas. Cursos para criacao das ""redes sociais"" academicas. ";Sim;Sim;"e uma grande honra ter sido aluna da UNIFEI. Pessoalmente tive uma excelencia experiencia. Conheci colegas, professores, agricultores que muito acrescentaram na minha formacao pessoal e profissional. Enfrentei problemas que muitos pesquisadores enfrentam no Brasil. Minha orientacao foi a distancia (orientador do Campos Rio Paranaiba e eu ingressei na PPG em Ciencia e Tecnologia da Computacao em Vicosa). A parte da orientacao foi incrivel, nada a reclamar do meu orientador, pelo contrario. Ele ele proporcionou muitas oportunidades e se fez presente, mesmo a distancia. Mas, isso fez com que eu nao tivesse um laboratorio para frequentar diariamente. A unica sala que o programa tinha nao comportava todos os alunos. Assim, grande parte do tempo ficava em casa e ia para a universidade somente para as aulas. 

A falta de estrutura fisica do PPG em Ciencia e Tecnologia da Computacao fez muita falta no inicio. Para conduzir os experimentos utilizei o laboratorio do professor Raul na Engenharia Eletrica. Por la encontrei pessoas que me auxiliaram e que contribuiram muito para a conducao e realizacao da minha pesquisa. 

De uma maneira geral, a minha relacao pessoal foi maravilhosa. Mas como profissional, estes pontos relatados acredito que tenham limitado meu crescimento. Acabei nao tento parcerias com outros colegas de laboratorio, o que limitou minha produtividade e aprendizagem com outros trabalhos/pesquisas. ";Apenas parabenizar por esta acao com os ex-alunos. Imagino que o objetivo seja identificar os pontos falhos, fazer uma autocritica e buscar evoluir. 
